datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,44.42,45.96,40.03,40.53,968321475,,,,,,,,,
2020-02-01,40.2,41.11,28.03,28.74,863422130,,,,,,,,,
2020-03-01,29.26,29.58,14.73,18.1,1216807820,,,,,,,,,
2020-04-01,18.3,18.83,15.91,17.58,1036869810,,,,,,,,,
2020-05-01,17.1,18.05,15.15,16.76,1038761700,,,,,,,,,
2020-06-01,17.03,23.66,17.0,20.11,2575664570,,,,,,,,,
2020-07-01,20.12,22.7,19.67,20.37,1526825190,,,,,,,,,6.240075408462504
2020-08-01,20.36,23.89,19.78,21.5,1336354180,,,,,,,,,5.747630505770249
2020-09-01,21.6,22.19,16.45,17.77,872157785,,,,,,,,,5.7459733543523575
2020-10-01,17.8,19.02,16.87,17.24,711621520,,21.87,,,,,,,5.00256740940537
2020-11-01,17.4,21.14,17.25,20.76,1105572765,,21.668181818181818,,,,,,,4.78341122762157
2020-12-01,20.99,29.33,20.77,25.79,4173222710,,22.41760330578512,,,,,,,5.512657087780446
2021-01-01,25.78,29.44,24.74,26.4,3362192780,,23.141675432006007,,,,,,,5.36010444581572
2021-02-01,26.83,34.92,26.4,31.44,3482221940,,24.650461717095823,,,,,,,5.94105124630539
2021-03-01,31.85,34.49,27.41,30.44,2068976420,,25.70310504126022,,,,,6.128790357563462,,6.14690964208051
2021-04-01,30.88,31.48,24.86,27.75,1761396215,,26.07526776103109,,,,,6.1810820774785356,,6.231230949269265
2021-05-01,27.39,32.73,27.18,32.16,2837893800,,27.18158271357089,,,,,6.11617374495614,,6.111200250120214
2021-06-01,32.32,33.15,28.29,30.37,1511198145,,27.761294947467093,,,,,5.990909495712268,,5.892823946666708
2021-07-01,30.52,31.4,28.42,30.64,1028206915,,28.284695866109438,,,,,5.698925274418275,,5.3884068601610124
2021-08-01,30.94,32.5,29.64,31.82,1668380485,,28.92747843590772,,,1757303417.75,,5.4304772962879095,,4.953389291047413
2021-09-01,31.8,35.5,30.41,34.6,1998865935,,29.95884599301541,,,1808830640.75,,5.399009739320062,,4.9767675420857636
2021-10-01,34.48,43.73,33.6,42.9,3035595340,,32.31178308519442,,,1917439301.25,,5.827266296473821,,5.854723493262787
2021-11-01,43.0,49.52,38.95,39.83,1691694825,,33.678731615159066,,,1941183651.5,,6.248542472510585,,6.65510088787514
2021-12-01,40.2,44.8,37.28,39.99,1026397940,,34.826234957857416,,,1940660058.0,,6.3595492641843405,,6.80146002198844
2022-01-01,39.94,50.88,39.72,50.59,1276346775,,37.69237405642879,,,1952539311.75,,6.77211018721135,,7.53713752371042
2022-02-01,50.97,54.56,41.25,43.92,1474308660,,38.824669682532644,,,1897471516.25,,7.325952098824201,,8.509473878956955
2022-03-01,43.57,46.45,39.28,45.55,1146748980,,40.047457012981255,,,1878467705.75,,7.312914181288679,,8.284260885105095
2022-04-01,45.58,50.51,45.25,45.93,733660030,,41.1170102833483,,,1848332998.25,,7.1433504984725475,,7.776521272841863
2022-05-01,45.48,47.17,36.74,41.0,1283946540,,41.095735686375875,,,1868922436.0,,7.411818245693861,,8.221466908703476
2022-06-01,41.0,43.2,34.35,36.25,826343555,30.89433333333333,40.214692834307534,,,1874658537.75,,7.528102568634947,,8.32675468143615
2022-07-01,36.33,46.9,35.69,44.46,1191194250,31.7695376344086,40.986566864433435,,,1878939612.0,9.696521095484822,7.823022665326027,,8.809328516422061
2022-08-01,44.71,48.91,43.79,48.22,1057605135,32.830857787027405,42.301736525445534,,,1723158733.25,67.78009742519137,7.608371803459342,,8.192274199346334
2022-09-01,47.6,51.53,41.5,45.75,1054840570,33.66435083302564,42.928693520819074,,,1607791122.75,152.7624309392265,7.7991537486974885,,8.499460506379561
2022-10-01,45.58,58.76,44.08,58.08,1469843465,35.2395540050885,45.68347651703379,,,1507172199.0,230.37542662116044,8.337286684532808,,9.532067832733295
2022-11-01,58.38,66.79,57.63,62.94,1186948565,37.02667955314731,48.82102624120946,,,1463070806.25,275.5369928400954,8.401195708001707,,9.46993028880913
2022-12-01,63.4,67.34,57.58,66.66,1223846830,38.938506678750706,52.06447601553501,,,1436193337.0,231.47687717553453,8.506092863760701,,9.518357227373702
2023-01-01,67.17,68.34,56.74,60.79,1046013080,40.34828044141195,53.650934921801365,,,1346599301.0,198.42906234658807,8.743566601742806,,9.865787855546255
2023-02-01,61.4,61.8,53.76,55.91,868119860,41.35226234841764,54.06167402692839,,,1314445386.75,160.04651162790697,8.689850275259188,,9.561131697539365
2023-03-01,55.98,62.74,54.47,56.89,868947140,42.3546970356165,54.5759151129414,,,1306482398.0,220.1463140123804,8.657952233022106,,9.345732044747072
2023-04-01,57.34,63.62,56.24,63.49,478400505,43.718264968802536,56.19665781967933,,,1246983399.0,268.27146171693744,8.561299468921227,,9.017842330615936
2023-05-01,63.74,65.37,58.27,61.94,889109355,44.89386077726689,57.2409018524649,,,1191495570.0,198.36223506743735,8.451242479025693,,8.697984317877157
2023-06-01,61.8,63.31,58.33,60.37,493236380,45.89232137228193,57.80982878838037,,,1064377622.0,134.08297789841023,8.190819679306246,,8.07796872750917
2023-07-01,60.6,70.28,60.51,68.87,1049516740,47.37475225148955,59.82076900867485,,,1032268717.75,160.87121212121212,8.31933569984416,,8.383451608884036
2023-08-01,69.11,69.2,63.85,64.08,718698285,48.45251017074829,60.595174643461235,,,1016883735.0,103.81679389312977,8.098101015949563,7.302075490862668,7.877677198549654
2023-09-01,64.32,77.2,63.94,75.25,1238993735,50.18138048231292,63.259688344650094,,,1015016083.0,147.2076215505913,8.481515716090223,7.380499669480226,8.775025431589242
2023-10-01,75.25,78.13,68.42,76.87,821610050,51.90322690280886,65.73429046380463,,,982381152.5,177.00900900900902,8.572505619027382,7.460213787531855,8.930897146107974
2023-11-01,76.86,82.2,76.0,80.61,528491735,53.755276780047005,68.43896492493106,,,951468290.25,150.6529850746269,8.397244094122957,7.5362494658374155,8.47564388904199
2023-12-01,81.1,90.94,81.0,87.5,739607630,55.932355697463336,71.90460766585268,,,951765670.25,188.11326967402042,8.539672466239889,7.62120823152167,8.784761936502228
2024-01-01,88.1,97.0,87.6,96.4,892281445,58.543171458917314,76.35831536297037,,,932182415.5,214.62140992167105,8.610280978435288,7.718253421655571,8.903987145916945
2024-02-01,96.6,119.76,95.87,112.89,1200448665,62.04941846156781,83.0004398424303,45.496,,950887671.0,254.77686989314896,9.731378362692341,7.861616790535718,11.401985345427157
2024-03-01,114.0,121.26,105.82,116.21,672235355,65.54364952856344,89.03854168926114,48.269098039215685,,924939726.25,235.86705202312137,10.14941678882305,8.019963692185817,12.075061748734795
2024-04-01,117.09,125.94,112.54,124.39,651484115,69.34018826865612,95.46607956394092,51.25423144944252,,904633675.25,189.95337995337997,10.387026882176555,8.171955711709241,12.295905013380818
2024-05-01,124.77,126.58,106.4,118.0,1211410260,72.47953096100089,99.56315600686075,53.87171256907222,,912462159.75,196.25910118001508,11.101677673131583,8.333726885063275,13.610021123241673
2024-06-01,124.8,128.9,96.2,119.47,1013502866,75.51117412480728,103.18258218743152,56.44419442910861,,889645129.8,198.74968742185547,12.675399136682165,8.544255214146537,16.791886606586285
2024-07-01,119.35,120.19,109.0,114.71,657028015,78.04013063288424,105.27847633517123,58.72912798090828,,863149102.3,126.74441589246884,12.567323341216827,8.737428985946718,15.858189360063685
2024-08-01,115.5,115.6,104.04,111.53,455993907,80.20076736624657,106.41511700150373,60.79975041302953,,824756456.15,153.93897996357012,12.494129108527924,8.909701552936841,15.141792830473968
2024-09-01,111.86,113.5,100.69,111.33,651923636,82.20910495552098,107.30873209213942,62.78132882820484,,805051983.95,144.4127332601537,12.517052674927525,9.083172836058138,14.753146389793498
2024-10-01,111.05,112.46,92.98,102.65,520544889,83.52787237774544,106.4616898935686,64.34480612905956,,787673235.4,123.49227084694104,13.021794315503053,9.279120963292488,15.540979485176502
2024-11-01,103.8,106.49,92.52,102.01,426566536,84.72026770821347,105.65229173110158,65.82187255537096,,765554205.2,148.8048780487805,13.090456560948788,9.468408907134318,15.279142879563478
2024-12-01,101.69,110.8,98.7,100.12,458030936,85.7137988238126,104.64642050726492,67.16689716104268,,764535726.75,176.19310344827585,13.018805332945123,9.651432332611325,14.749274448672034
2025-01-01,100.55,103.14,87.79,93.27,549178118,86.2012956738892,102.57798041503493,68.1905482527665,,747539164.9,109.78407557354926,13.187293884391407,9.830241373246839,14.849397150772134
2025-02-01,93.5,96.9,80.25,80.9,436620902,85.85927659815442,98.63652943048311,68.68895812520704,,744708391.0,67.77270841974286,13.437351320889656,10.024540690494515,15.149502063947967
2025-03-01,81.25,92.25,78.6,89.0,452992572,86.06190391440254,96.88443317039527,69.48546957127735,,714882182.6,94.53551912568305,13.452695570651706,10.212992084559655,14.89958197319637
2025-04-01,88.53,102.63,83.7,97.45,577676751,86.79661979089269,96.98726350305067,70.58211782338412,,707831105.9,67.78581267217632,13.84763754005105,10.396670446410264,15.571325209975633
2025-05-01,97.5,115.32,90.95,114.76,684940056,88.60070883664156,100.21867013885964,72.31458379109455,,680128421.95,82.33238004448683,14.605841278702577,10.603491965433625,17.037783559071887
2025-06-01,114.76,119.3,104.6,114.2,586163800,90.25227600847114,102.76073011361242,73.95714913262026,,668356109.45,71.31713171317134,14.612621761704073,10.807042928698403,16.648150186978935
2025-07-01,114.45,117.5,106.1,107.25,632948250,91.34890336276334,103.57696100204652,75.26275112741946,,673578935.2,76.42704392169766,14.3814117075532,10.994971098892083,15.773453290442049
2025-08-01,107.25,107.4,105.75,105.89,13286442,92.28703862968183,103.99751354712896,76.46381971065792,,637262875.8,89.39366839563586,13.465636418181857,11.15416397032284,13.4195327500504
