datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,188.38,247.0,177.26,242.06,145742565,,,,,,,
2020-02-01,248.2,398.8,233.64,348.76,641800945,,,,,,,
2020-03-01,362.0,374.74,154.93,196.51,200666885,,,,,,,
2020-04-01,206.33,301.8,206.33,264.87,116543435,,,,,,,
2020-05-01,254.02,295.0,238.0,282.07,113045285,,,,,,,
2020-06-01,290.0,319.0,268.0,271.73,144332190,,,,,,,
2020-07-01,272.73,293.56,266.43,267.17,76092370,,,,,,,85.83224452966388
2020-08-01,267.4,282.8,263.01,268.85,63761055,,,,,,,70.56416221117779
2020-09-01,267.2,291.98,264.23,276.8,85127945,,,,,,,61.26601714053861
2020-10-01,282.0,282.0,259.41,263.04,22779570,,,,,,,53.27041254732096
2020-11-01,264.04,283.37,258.01,270.69,35237780,,,,,,,47.72268875855018
2020-12-01,271.6,360.0,267.29,287.56,467633620,,,,,,,56.38663735571975
2021-01-01,289.4,302.98,283.41,291.22,133046478,,,,,,,49.47538858754353
2021-02-01,293.95,361.99,290.23,351.93,256392390,,,,,,,53.572414415843156
2021-03-01,357.59,414.6,340.6,351.4,338879000,,,,,62.399126704957716,,57.26458228930747
2021-04-01,352.0,363.6,310.0,358.28,129551715,,,,,61.46241571762743,,56.611425099010745
2021-05-01,352.2,388.23,336.3,380.64,112920180,,,,,60.48198348666695,,55.78657307452342
2021-06-01,382.36,436.8,377.6,406.77,175481345,,,,,60.35414551867473,,56.38233027168081
2021-07-01,409.56,495.99,406.06,466.26,188321555,,,,,63.2222765110317,,62.19181897860345
2021-08-01,493.8,551.9,484.47,550.4,229859648,,,183860797.8,,65.3420901599247,,66.22612645845817
2021-09-01,551.0,803.94,543.6,759.7,545236920,,,203835515.55,,83.36416653154603,,99.44491948335738
2021-10-01,755.4,1279.26,639.45,845.7,903811883,,,216936062.45,,133.7345041888267,,191.50689070672772
2021-11-01,874.2,929.0,750.55,795.15,235322037,,,218668820.05,,137.70638502011045,,189.29059646594305
2021-12-01,809.0,878.2,780.7,831.75,100440308,,,217863663.7,,134.19609725242145,,173.75769554124025
2022-01-01,831.9,918.65,784.8,868.0,105306711,,,217476735.0,,134.1663529201131,,167.02167983337122
2022-02-01,894.6,899.9,735.0,809.35,88430703,,,214681660.65,,136.76988132713268,,166.6643204740147
2022-03-01,795.0,822.0,708.4,774.7,80435821,,,214898833.2,,134.832831397516,,157.7423290351272
2022-04-01,777.0,840.95,740.0,745.95,47969268,,,214109243.85,,132.03422552866553,,148.20753153606182
2022-05-01,740.0,744.7,618.0,692.65,59623097,,,212834001.45,,131.70060832174553,,144.81066983973568
2022-06-01,692.65,698.85,568.45,576.2,46806680,469.8720000000001,,214035356.95,,131.5954475118181,,142.3966882180491
2022-07-01,576.2,640.0,557.0,637.1,42810635,480.66090322580663,,214413999.7,163.1992068082294,127.70295068210108,,132.4553601478023
2022-08-01,646.35,752.75,631.05,710.75,105608553,495.50536108220626,,196312746.35,103.79343961463472,127.22624785819012,,130.65648499169617
2022-09-01,707.0,738.0,661.0,706.0,55153304,509.0856603672253,,192418087.65,259.26924838430614,123.26929803323877,,121.68749872229725
2022-10-01,705.95,756.0,700.1,741.2,45261333,524.0607790532108,,181861534.8,179.83539094650206,118.00052195370804,,110.69611953391876
2022-11-01,745.0,774.9,710.6,736.2,45620565,537.7471804046165,,167198613.05,160.9990427907966,113.82902277737263,,102.9476912587008
2022-12-01,739.9,742.5,605.0,639.7,73231276,544.3247816688348,,164382591.1,135.41751002833698,115.65637804796717,,108.71617541311147
2023-01-01,643.0,654.8,601.0,636.6,22816711,550.2780215611681,,159877417.65,138.27525545532805,110.90857384239554,,99.5505483557179
2023-02-01,641.0,656.7,595.0,609.25,25454554,554.0826653314153,,152376078.1,126.61335317091313,107.15156802124987,,93.23469812948393
2023-03-01,603.3,621.4,557.1,572.8,21303152,555.2902353100338,,144025157.95,106.93641618497108,103.89592855352959,,88.40751904107758
2023-04-01,577.0,619.65,564.55,617.8,20642444,559.3231233545479,,133564297.75,134.86922141119217,100.2054452555627,,82.85172982454604
2023-05-01,620.0,653.7,604.1,649.5,35537785,565.1409863639319,,108079341.0,139.94236950016625,96.39412314424895,,77.30600166325854
2023-06-01,650.1,675.0,621.65,635.1,34524364,569.6544711146461,,64614965.05,120.85825566838224,93.16482668097211,,73.31106966672384
2023-07-01,635.8,642.65,614.35,640.65,21276830,574.234827816927,,53912704.7,119.98832497768008,88.31590577513252,,65.80567854047904
2023-08-01,642.0,686.0,630.6,672.0,52220115,580.5422582803511,,51501695.05,90.94706333645894,85.86345824296295,105.83155956558036,64.07071566435256
2023-09-01,675.75,758.0,661.0,680.85,61674523,587.0137254880703,,49320085.65,93.75355719977236,86.69065649530609,106.64127722525863,69.56073107292094
2023-10-01,680.65,726.5,635.55,665.35,34196410,592.0676786823884,,46608371.0,85.70670983588258,87.00613244981703,107.49273444966497,73.12658423364708
2023-11-01,666.05,719.9,649.7,705.75,31672102,599.4020219932021,,44170185.05,85.41141235813367,85.76463132236842,108.33548937752168,72.63870902884683
2023-12-01,710.0,916.5,700.0,887.5,205349624,617.9889883162214,,52039202.85,118.18226516213093,95.39876343508982,109.50364330806885,96.62014447553544
2024-01-01,892.0,1049.0,866.8,977.2,167068335,641.16389229582,,57411464.75,109.58263629734483,101.78086324490344,110.78892953253124,110.88571102926139
2024-02-01,988.5,993.5,877.0,927.4,69724816,659.6307379541543,562.8972,58557371.55,68.49563953488374,102.86082981309566,112.03955418763692,111.82154925901533
2024-03-01,934.0,961.0,862.75,929.7,39154953,677.0545613119508,577.2816235294118,58374587.45,22.37725417928129,102.52318192527171,112.67818803409446,109.55937580399186
2024-04-01,930.05,1068.8,930.0,1038.75,72413846,700.3897509047282,595.3784226066898,56714852.1,22.827243703440935,105.1968624904782,111.72693331081618,114.48326405380126
2024-05-01,1038.75,1138.9,973.5,1020.35,65036601,721.0323476205523,612.0439746613295,57209016.95,28.321700308117983,109.59023918226644,110.78972844955472,122.97003432762358
