datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,532.9,541.0,529.55,539.85,5388327,,,,,,,
2020-01-03,538.95,539.0,530.4,532.75,1930883,,,,,,,
2020-01-05,529.9,530.0,520.5,524.5,2059404,,,,,,,
2020-01-07,528.9,532.0,519.0,524.65,3723727,,,,,,,
2020-01-09,529.85,547.6,525.7,546.6,5253486,,,,,,,
2020-01-13,548.9,563.75,546.6,562.5,6236118,,,,,,,
2020-01-15,562.0,571.0,556.7,567.45,4807713,,,,,,,15.47573555476781
2020-01-17,566.8,574.0,565.15,569.3,2646260,,,,,,,13.943954244317707
2020-01-19,569.0,574.0,564.35,567.2,1847978,,,,,,,13.01141679810022
2020-01-21,564.0,564.9,549.0,553.6,4964353,,,,,,,14.084067571075455
2020-01-23,553.5,572.0,549.55,567.75,4398020,,,,,,,15.74695529344446
2020-01-27,565.0,589.75,563.0,572.5,7343910,,,,,,,17.865993109203547
2020-01-29,577.5,587.55,563.85,567.85,4836031,,,,,,,18.96115757378994
2020-01-31,570.8,581.2,528.95,545.2,6386433,,,,,,,25.08131128390325
2020-02-02,545.0,565.75,535.2,558.7,3818209,,,,,22.53139046356686,,26.06974512031361
2020-02-04,562.0,589.85,558.8,584.35,6114532,,,,,23.44888449666652,,26.97522485613209
2020-02-06,585.0,589.15,561.3,569.1,6290319,,,,,23.90154997197397,,27.129357419001273
2020-02-10,566.8,567.0,522.7,524.05,15053682,,,,,26.145070395185687,,30.492729262643348
2020-02-12,526.65,538.0,523.9,533.6,6819181,,,,,24.97699460121778,,27.653981406288494
2020-02-14,535.25,536.95,520.65,523.0,3507540,,,5171305.3,,24.156500424095665,,25.700505694389005
2020-02-16,524.1,525.4,516.0,522.75,2652464,,,5034512.15,,22.792676689579615,,22.910992946104077
2020-02-18,520.5,529.65,514.1,526.4,4821753,,,5179055.65,,22.13705839134803,,21.65690095309122
2020-02-20,525.9,533.0,523.0,524.85,2077458,,,5179958.35,,21.058976874006987,,19.67824286151191
2020-02-24,522.0,522.0,506.1,508.95,4017024,,,5194623.2,,20.857387666903453,,19.521164631747094
2020-02-26,507.7,512.45,487.55,493.5,9097630,,,5386830.4,,21.204818349430667,,20.429057684432927
2020-02-28,485.0,485.0,453.6,457.05,8613275,,,5505688.25,,22.78853655817857,,23.708592778520675
2020-03-01,453.55,472.45,444.35,458.3,9225488,,,5726577.0,,23.232585871201742,,24.44694384539042
2020-03-03,462.0,477.0,455.25,474.65,10495809,,,6119054.45,,23.11012935416686,,23.994157106951796
2020-03-05,472.7,482.5,456.5,471.0,8583612,,,6455836.15,,23.346186488244367,,24.330504646636683
2020-03-09,453.55,465.7,441.0,463.2,4540695,531.1716666666666,,6434653.25,,23.884181214483984,,25.28022160910007
2020-03-11,462.85,469.65,399.65,423.35,14513297,524.2154301075268,,6940417.1,-21.58006853755673,27.578059707500657,,32.76504949345298
2020-03-13,400.5,449.75,345.65,428.85,6230433,518.0628217134928,,6884743.25,-19.502580947911774,33.654775469525134,,44.696093034985196
2020-03-15,421.0,428.6,388.8,391.8,3156668,509.9168332158481,,6800775.1,-25.300285986653957,34.15860730378509,,43.919472191417434
2020-03-17,392.0,408.0,339.1,346.4,11123103,499.3673601051483,,7037608.6,-33.97503097302964,36.8756404947364,,48.09306837310209
2020-03-19,331.75,331.8,302.0,322.6,19305763,487.96301429191294,,7811986.3,-40.98060739114526,37.46013871443185,,47.47630396064864
2020-03-23,299.0,309.9,264.4,269.0,12697280,473.8363682085638,,8141123.7,-52.17777777777778,39.06121730426524,,49.26661763094114
2020-03-25,263.4,294.0,245.4,285.5,16951349,461.6856347757533,,8674175.2,-49.68719710987752,39.79336933172026,,49.155357723470765
2020-03-27,297.0,305.0,280.8,294.5,9505256,450.8994647902208,,8396753.9,-48.26980502371333,38.60283738218275,,44.9912357075285
2020-03-29,281.7,284.85,270.0,274.4,8942943,439.51240254569046,,8502942.0,-51.62200282087448,37.53137708076491,,41.572680446978026
2020-03-31,283.85,287.2,265.5,272.85,12217161,428.7599894782266,,8938423.05,-50.71351156069363,36.33403471158988,,38.257860643235425
2020-04-02,274.0,290.0,271.35,280.7,6961905,419.2077320925346,,9153895.1,-50.559225011008365,35.00217107175531,,34.98765889657257
2020-04-06,295.5,323.8,292.75,321.0,10795410,412.87174937688724,,9452577.95,-43.930131004366814,35.609693967054326,,36.34048277329615
2020-04-08,315.0,391.65,312.8,381.4,19478658,410.8413139332171,,10322637.95,-32.834375275160696,38.842090238291995,,43.4287514089141
2020-04-12,380.0,380.0,355.0,362.85,7717757,407.74510013107414,,10507674.6,-33.44644167278064,37.91507417170139,29.266400491985202,40.589508258520546
2020-04-14,373.05,379.9,349.3,353.15,11300959,404.22283560648873,,10617841.05,-36.79076427420799,37.37172627227218,29.761078352275376,38.92404375269375
2020-04-16,343.1,370.75,343.0,363.2,12334384,401.5762010512314,,10803896.5,-37.845469324890914,36.65907577192091,30.20141806145052,37.06119377079507
2020-04-20,367.0,367.45,323.5,332.05,12838006,397.0906396930875,,10984522.4,-41.65348796345106,37.19767028058201,30.644622071737455,38.20958981259092
2020-04-22,327.0,349.65,320.6,347.5,15812051,393.89124358385607,,11250334.5,-33.6895334414655,36.5972533261802,30.993028169437274,36.68270158347832
2020-04-24,342.0,344.75,332.0,334.3,5755029,390.0466472236073,,11108905.35,-37.35007496251874,35.0460683227279,31.32866396015428,33.15169259339605
2020-04-26,337.55,343.35,328.15,330.3,5770552,386.19202482208425,453.017,11170398.2,-36.84512428298279,33.589930598402226,31.643111632631165,30.159349252101894
2020-04-28,334.45,351.8,328.5,348.0,11993020,383.72802322065945,448.89868627450977,11044384.35,-33.42898134863702,32.836406076083556,31.977902612181296,29.01599873988736
2020-04-30,355.65,368.0,355.0,366.65,7422880,382.6262152709395,445.67324759707805,11104006.7,-30.347644376899694,31.898094564606403,32.30327048462324,27.513194670445014
2020-05-04,350.05,381.8,341.1,368.15,20526845,381.69226589862086,442.6331202403299,11972515.55,-29.856149376012198,32.54042132335824,32.68598529960162,29.711163283276015
2020-05-06,371.5,403.45,358.25,400.65,19986976,382.9153455180647,440.9867233681601,12415709.2,-21.27910403772473,33.462837906527504,33.10616697425575,32.29280023763149
2020-05-08,405.0,407.9,380.7,386.7,9445656,383.1595167749638,438.85783225568326,11922703.85,-21.641337386018243,33.00716160249363,33.49957841602451,31.443955215781983
2020-05-10,388.5,402.0,384.35,390.1,7658641,383.60728988625647,436.9457604025192,11670771.9,-14.64828793348648,31.891277939541695,33.80300312873662,29.14486115126274
2020-05-12,388.9,418.9,380.2,413.05,12049617,385.5068195710141,436.0086717592832,11425685.3,-9.873445341479382,32.385404484478904,34.10809708251252,30.737442900051537
2020-05-14,401.5,407.5,373.2,381.3,18992732,385.23541185675515,433.863233651076,11900059.1,-19.66712314336879,32.926510428677275,34.43530978499621,32.2562489936875
2020-05-18,382.1,391.0,367.25,382.9,13667753,385.0847401240613,431.86467546868084,12136299.6,-18.70488322717623,32.26201345118503,34.73250401709423,30.838504596626773
2020-05-20,382.9,413.7,379.7,408.3,16857881,386.5824988257348,430.9405705483404,12368335.6,-11.852331606217614,32.387742206373595,35.015956050157214,31.36543171884718
2020-05-22,404.0,430.35,398.7,426.35,10016213,389.1481440627842,430.7605481738957,12521051.0,0.7086335183654091,32.33442142735444,35.17450144081901,31.41286060742703
2020-05-26,427.0,435.2,415.0,432.5,13486757,391.94503799421744,430.82876197099785,12655618.35,0.8511134429287637,31.45814079186067,35.10128028489685,29.544022867618068
2020-05-28,429.5,450.0,423.85,436.35,16990102,394.80987425265505,431.0452811093901,12531190.55,11.370597243491588,31.07511730719482,34.99849728501052,28.978345418095362
2020-06-01,441.85,478.85,441.5,462.85,18189193,399.19955978474184,432.2925249874532,13054762.35,33.61720554272518,31.898910420952753,34.83260628255106,31.231977660471777
2020-06-03,470.0,492.6,466.5,478.45,15702954,404.31249141153273,434.1026220467688,13274862.1,48.31060136391816,31.744067635276508,34.642070579912556,30.98497926977811
2020-06-05,479.0,489.45,475.4,484.2,6265849,409.4665242236919,436.06722510375823,12971435.35,80.0,30.469896499823598,34.3556932197645,28.162462594270533
2020-06-07,485.5,494.15,468.25,470.85,5955229,413.4267484673247,437.4312554918461,12627296.5,64.92119089316988,30.141004368859623,34.03394772100248,27.785383254077637
2020-06-09,473.8,483.7,463.3,472.05,12505794,417.20889372749735,438.7888533156953,12461983.65,60.2886247877759,29.44033021743244,33.7285308155108,26.554479948566453
2020-06-11,472.0,512.9,456.1,508.45,22701109,423.0954167128201,441.5206629895896,13309287.65,85.29518950437318,31.40733461648046,33.524396066701314,31.595420763055966
2020-06-15,505.15,520.95,498.7,506.75,24318822,428.4924866023156,444.07867620568413,14236701.15,85.72475719259664,30.749280900262598,33.33823760632374,30.03784527861503
2020-06-17,504.9,508.9,492.0,506.6,16388908,433.53168101506947,446.5304928250691,14456495.55,80.47737798361241,29.754490016439913,33.16331490447989,27.84819812278835
2020-06-19,506.6,506.6,496.4,500.05,9811021,437.82318546571014,448.62929702800756,14575902.6,55.77881619937695,28.350458500463727,32.92134038892688,24.906824743418312
2020-06-21,501.75,502.25,494.1,498.75,5149781,441.7539476937289,450.59481479161514,13807049.4,30.768222338751983,26.900585758064086,32.52329023958594,22.11401506057987
2020-06-23,500.0,527.65,497.6,515.35,16702458,446.5020801005851,453.1342338193949,13642823.5,42.02838638555877,27.126554488336517,32.16367291680711,23.43668141106259
2020-06-25,509.9,516.35,498.7,501.4,9329036,450.04388138441834,455.0270089637324,13636992.5,41.97932889706924,26.446835049585694,31.799509876050898,22.47223317610659
2020-06-29,494.1,515.5,493.05,510.7,9947647,453.95717935961716,457.21026351417424,13751442.8,40.61123348017621,26.160241697966363,31.44954874025241,22.468527642487167
