datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1496.7,1518.9,1485.6,1513.7,496501,,,,,,,
2020-01-03,1516.0,1517.5,1492.65,1511.15,318700,,,,,,,
2020-01-05,1490.1,1504.65,1459.55,1474.5,251738,,,,,,,
2020-01-07,1479.95,1497.35,1463.1,1473.1,402330,,,,,,,
2020-01-09,1509.4,1532.0,1486.05,1510.25,926918,,,,,,,
2020-01-13,1512.0,1518.2,1489.55,1511.0,637920,,,,,,,
2020-01-15,1507.8,1546.8,1500.05,1535.45,1168034,,,,,,,41.6525812896781
2020-01-17,1537.0,1597.7,1537.0,1588.0,1040955,,,,,,,46.41442859903576
2020-01-19,1594.9,1609.0,1580.55,1591.75,456685,,,,,,,42.51301246478839
2020-01-21,1591.7,1611.0,1565.5,1577.65,816274,,,,,,,43.13052101458652
2020-01-23,1578.35,1627.9,1569.15,1624.95,1028743,,,,,,,46.23518867181544
2020-01-27,1629.0,1639.0,1501.05,1506.8,1665152,,,,,,,63.8982227367268
2020-01-29,1513.0,1539.4,1490.3,1509.8,982765,,,,,,,61.12028846553757
2020-01-31,1515.0,1524.3,1399.2,1416.3,677072,,,,,,,72.8829584889121
2020-02-02,1419.65,1459.6,1415.5,1437.25,440274,,,,,61.71891223637817,,67.680605318088
2020-02-04,1446.6,1508.65,1446.45,1497.65,565746,,,,,62.74951238359324,,68.34353200065443
2020-02-06,1502.0,1521.0,1485.55,1507.1,475273,,,,,59.94169088029004,,62.547797605798465
2020-02-10,1506.0,1522.0,1460.1,1494.75,1635300,,,,,60.13697128847631,,62.43473525105014
2020-02-12,1490.0,1490.0,1409.25,1420.3,2387284,,,,,62.596561720715314,,66.42897378285765
2020-02-14,1427.4,1436.95,1393.0,1397.9,521198,,,844743.1,,60.83334807148153,,62.56142038974421
2020-02-16,1406.55,1406.55,1374.3,1382.75,542961,,,847066.1,,58.191620873875394,,57.37421361339735
2020-02-18,1379.65,1425.0,1362.1,1421.9,582248,,,860243.5,,58.617830636150195,,58.3156415584147
2020-02-20,1415.45,1430.25,1408.75,1412.7,269766,,,861144.9,,55.32081698734428,,52.06650490027717
2020-02-24,1405.0,1419.25,1365.0,1382.75,781731,,,880114.95,,55.22732746397061,,52.435998229216935
2020-02-26,1376.15,1397.65,1318.7,1352.4,1234755,,,895506.8,,57.2661042823872,,56.911293782724904
2020-02-28,1334.9,1344.95,1286.45,1303.75,815803,,,904400.95,,58.00174002147254,,58.43370362628977
2020-03-01,1320.0,1355.7,1297.0,1310.65,417758,,,866887.15,,58.06011599773087,,58.478477477066086
2020-03-03,1319.15,1369.0,1301.15,1333.85,1042660,,,866972.4,,58.86872689871136,,60.05185139978082
2020-03-05,1336.1,1353.0,1290.55,1339.0,842854,,,886280.85,,59.161260775913796,,60.453982286640425
2020-03-09,1314.8,1319.95,1268.2,1286.6,576565,1454.1899999999998,,874295.4,,60.10231214616544,,62.18707983834673
2020-03-11,1275.0,1295.05,1150.05,1180.25,1582917,1436.5164516129032,,902004.1,-22.028803593842905,66.90261953588521,,76.04762379257987
2020-03-13,1082.2,1290.0,1003.25,1213.65,578139,1422.1379708636837,,847653.45,-19.686993349435856,84.36101169112213,,111.28840277937272
2020-03-15,1165.0,1184.05,1139.45,1148.25,677424,1404.467779195059,,832386.4,-22.12614445574771,83.56050169590938,,105.0888655690316
2020-03-17,1153.0,1207.8,1084.35,1117.95,1062825,1385.9827611824744,,851674.05,-24.109021790781338,86.680154722209,,108.15653335970816
2020-03-19,1086.0,1178.8,1041.4,1169.55,848389,1372.0193572352182,,872079.8,-22.559178943883463,90.6201125681039,,113.04036644870985
2020-03-23,1085.0,1157.45,947.9,1018.8,634063,1349.2310116071396,,875495.65,-32.574454003970885,100.7353753708243,,131.17266999021288
2020-03-25,1018.8,1139.0,1010.15,1090.6,707196,1332.54513989055,,887091.8,-28.971962616822434,102.89332152391067,,130.7850114042399
2020-03-27,1148.0,1166.8,1031.35,1044.15,334071,1313.939001833095,,822030.35,-34.247481108312336,105.37897841255749,,131.5634246784946
2020-03-29,1038.45,1093.55,1020.65,1080.95,357389,1298.9074533277342,,720535.6,-32.0904664677242,102.9113944039928,,121.77659864716384
2020-03-31,1095.0,1143.0,1065.1,1085.2,1138857,1285.119875693687,,751418.55,-31.214147624631572,101.01975844085013,,114.45785679426996
2020-04-02,1096.3,1096.3,1044.0,1051.25,280441,1270.031496616675,,738292.55,-35.3057017138989,97.35045582596865,,104.09116072497862
2020-04-06,1092.0,1121.7,1070.6,1113.3,236238,1259.9197871575348,,720992.05,-26.114945580037162,95.3323046705085,,98.48111981456638
2020-04-08,1110.95,1180.0,1093.0,1154.5,859383,1253.1185105667262,,750472.9,-23.53291826732017,94.7094295565524,,96.5666953093584
2020-04-12,1170.0,1205.0,1125.0,1183.25,664626,1248.6108647237115,,744617.65,-16.454847136906015,93.61348206958264,75.0954584384211,93.80449184227798
2020-04-14,1185.0,1253.45,1185.0,1193.25,756827,1245.0391960318593,,720721.25,-16.976865541833362,91.8743792249327,76.10064067137293,89.86911861628757
2020-04-16,1183.2,1245.0,1171.45,1197.65,1099350,1241.981828545933,,734898.6,-20.031382499248817,90.51715104635652,77.02622862679839,87.1485216245651
2020-04-20,1207.5,1212.0,1149.0,1159.2,436290,1236.6410654139374,,735825.2,-23.08406874129122,88.48440650205195,77.97765248085712,83.12285074253295
2020-04-22,1154.0,1199.65,1110.0,1168.95,1776020,1232.2738999033609,,772493.2,-21.7962870045158,88.57030125159484,78.92543014629437,84.21091555491002
2020-04-24,1159.0,1203.7,1135.0,1145.9,773708,1226.7013902321764,,769035.9,-19.3198620009857,87.1093284491635,79.74252237057598,81.6253538382916
2020-04-26,1161.0,1175.85,1139.0,1144.75,285726,1221.4142037655845,1325.741,754493.95,-18.10930681736892,83.4217212634979,80.49546814364321,74.16181070913892
2020-04-28,1157.9,1188.75,1113.1,1127.15,1055472,1215.3326422323212,1317.953117647059,728121.7,-18.48490327246428,82.85260347434776,81.31750089699229,74.40986951551285
2020-04-30,1148.0,1179.0,1132.95,1139.75,609933,1210.4563427334617,1310.9647600922724,729711.4,-19.843167592657718,80.5863850676286,82.04978604470824,70.6495469276212
2020-05-04,1110.0,1122.75,1063.15,1069.75,990857,1201.3785141700125,1301.5053577357128,745383.05,-24.27620867841722,80.29547512563691,82.882274649318,71.64136479088329
2020-05-06,1069.4,1099.0,1039.5,1054.8,942783,1191.9218358364633,1291.8306378245084,739380.95,-23.717230157295244,78.78025162565075,83.667372121374,69.61767530446687
2020-05-08,1064.4,1072.25,1036.2,1043.35,315523,1182.3365561050787,1282.0862990862925,712737.65,-22.85196687370602,75.67125161290576,84.28087703239127,64.0227662666624
2020-05-10,1056.4,1058.8,1017.5,1030.1,574333,1172.514842807977,1272.2044834358499,709751.15,-20.989453499520614,73.17376417721816,84.78661117091613,60.23547130768134
2020-05-12,1026.1,1062.0,996.3,1044.75,1084632,1164.2719497235914,1263.284699771699,728622.95,-20.287643535650258,72.63137380825137,85.27231976460014,61.1462596069293
2020-05-14,1010.0,1089.45,991.3,1082.6,2928837,1159.0027916769081,1256.199025270848,858361.25,-18.836450875285827,74.48121018470604,85.7927358741333,67.31373880951634
2020-05-18,1084.85,1085.0,990.0,1020.85,1874872,1150.089708342914,1246.9696517308148,934235.4,-23.760268857356238,75.96703357258693,86.35292830068907,71.92823360122736
2020-05-20,1020.55,1040.0,1004.45,1021.75,1178650,1141.8097271595004,1238.1375085256848,936225.05,-20.58526348515467,73.04320005790244,86.7842912310803,65.86506554395166
2020-05-22,1017.0,1031.8,1001.4,1015.0,529986,1133.6284544395328,1229.3870179952658,948702.3,-14.001270917178566,69.96113612376212,86.88624178400954,59.95411638494213
2020-05-26,1020.0,1039.0,1010.5,1018.8,992785,1126.2201670563372,1221.128703564079,986529.65,-16.054875787912504,66.96704275653141,86.30644281952318,54.711686122892175
2020-05-28,1024.8,1098.8,1021.05,1089.2,2188152,1123.831769181735,1215.9550289145072,1052968.1,-5.142608317004138,67.90747159868813,85.78467514961581,58.92645704656928
2020-06-01,1105.0,1147.0,1101.7,1109.65,1266007,1122.9168163313004,1211.7862042511933,1083037.15,-0.7424303412496003,67.1786706364037,85.13462568008896,58.73871227728653
2020-06-03,1125.0,1146.0,1104.15,1113.4,1409909,1122.302828180894,1207.9279217315388,1115691.25,-4.80099183446624,65.35357737957175,84.29240784047123,55.923902807047796
2020-06-05,1118.9,1168.0,1118.9,1150.6,1309805,1124.1284521692235,1205.679767938145,1126214.0,12.936788378484486,64.57919931216838,83.08720197184935,55.70325076548832
2020-06-07,1169.6,1174.75,1124.35,1130.95,711665,1124.5685520292736,1202.7491888033157,1139982.75,3.6997982761782566,63.55873263916562,81.77604900902452,54.819370384618416
2020-06-09,1135.0,1148.45,1092.75,1102.05,745043,1123.1157422209333,1198.8002010071073,1088433.9,5.545180290188179,62.99345100959942,80.3631980955926,54.966142714125596
2020-06-11,1104.6,1113.9,1025.35,1068.65,794247,1119.60182336797,1193.6962715558482,1089460.85,-1.1378879689162291,64.8308212954292,79.09384565864048,60.56347536413346
2020-06-15,1064.7,1080.0,1019.15,1032.7,1094825,1113.9952541184234,1187.3826922791484,1129915.8,-4.837817913748621,64.54475615128324,77.87801224898824,60.61122963436154
2020-06-17,1029.0,1054.8,1021.0,1043.2,975192,1109.4278183688477,1181.7284690525153,1125901.8,-0.7657550535077218,62.33636689519789,76.71087595129589,56.14267855402149
2020-06-19,1045.0,1074.6,1045.0,1066.9,751999,1106.6840881515027,1177.2253918347694,1133005.1,-4.167789454774084,60.115105482901114,75.53696931170899,52.01888894520386
2020-06-21,1067.0,1099.9,1067.0,1083.85,512709,1105.2109211739864,1173.5636117628178,1109097.7,-6.119532265049809,58.16893914484266,74.31895296465198,48.8490678116471
2020-06-23,1105.0,1132.0,1085.0,1094.3,1164423,1104.5069907756647,1170.4552348309428,1120179.7,-7.517430804986269,57.450085801547544,73.11350642238416,48.73255631644778
2020-06-25,1095.0,1129.0,1083.65,1116.4,1216299,1105.2742816933637,1168.3354217003175,1165218.5,-6.440393882254336,56.58218982311071,71.93710010899008,48.1687961511135
2020-06-29,1114.9,1127.0,1092.65,1096.65,838971,1104.7178764228242,1165.524228692462,1178450.4,-8.433181647392807,54.988029014322024,70.75279604125559,45.86566080632991
2020-07-01,1096.65,1114.5,1082.45,1094.55,987030,1104.0618843955451,1162.7409256064832,1173570.3,-5.577122153209113,53.343710612038585,69.58143951158848,43.56304846166751
