datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,306.65,309.9,301.5,309.2,1767229,,,,,,,,,
2020-01-03,310.5,310.5,299.35,303.05,1026261,,,,,,,,,
2020-01-05,291.5,300.7,287.05,291.5,2555741,,,,,,,,,
2020-01-07,295.4,297.55,290.1,294.6,2597438,,,,,,,,,
2020-01-09,297.95,316.0,296.75,314.1,3450246,,,,,,,,,
2020-01-13,316.05,325.5,312.8,320.5,2526185,,,,,,,,,
2020-01-15,319.9,334.9,317.0,327.1,3762903,,,,,,,,,14.998393541941912
2020-01-17,325.0,329.85,323.2,325.25,931898,,,,,,,,,13.068356779362864
2020-01-19,327.25,327.25,318.25,319.2,683308,,,,,,,,,12.184813354011004
2020-01-21,315.6,319.45,308.95,317.5,4842225,,312.2,,,,,,,11.836507029109598
2020-01-23,318.75,329.0,313.65,323.8,8797031,,314.30909090909086,,,,,,,12.534880387197374
2020-01-27,323.05,336.8,323.05,325.8,9255863,,316.398347107438,,,,,,,12.768896014586876
2020-01-29,327.0,333.75,324.0,326.85,7571289,,318.2986476333583,,,,,,,12.20218642727514
2020-01-31,327.65,334.3,315.0,318.55,3099813,,318.3443480636568,,,,,,,13.507119459028816
2020-02-02,318.0,330.5,315.3,324.95,1061299,,319.5453756884464,,,,,13.459540343522306,,13.813097819576445
2020-02-04,326.0,347.6,325.7,342.65,9406530,,323.74621647236523,,,,,14.43791067815881,,15.388143962197871
2020-02-06,345.3,349.0,328.95,339.95,6654965,,326.6923589319352,,,,,15.015127767420605,,16.20954798112838
2020-02-10,339.95,341.75,332.05,333.3,1813255,,327.8937482170379,,,,,14.485109135766713,,15.07341407679494
2020-02-12,333.5,340.95,333.5,337.0,2139460,,329.5494303593946,,,,,13.822271537589693,,13.787892888730246
2020-02-14,338.5,338.95,330.6,332.75,624421,,330.1313521122319,,,3728368.0,,13.304815075003749,,12.852292300538151
2020-02-16,334.35,334.35,327.0,331.45,803122,,330.3711062736443,,,3680162.65,,12.754459780690008,,11.910682585790193
2020-02-18,331.45,331.5,322.0,329.3,1589761,,330.1763596784362,,,3708337.65,,12.459861046751083,,11.499974716529827
2020-02-20,328.9,334.75,327.05,332.0,1549090,,330.50793064599327,,,3658005.1,,12.037063524142805,,10.854961882422778
2020-02-24,332.0,332.0,321.15,325.35,2217298,,329.5701250739945,,,3638998.1,,11.933424896442654,,10.85412222747946
2020-02-26,325.0,325.2,311.0,314.55,2604491,,326.8391932423591,,,3596710.35,,12.141110488932817,,11.44419106681282
2020-02-28,308.6,315.65,300.55,306.5,2260806,,323.14115810738474,,,3583441.4,,12.391765833391988,,12.059947279293674
2020-03-01,309.0,317.0,299.55,302.0,1251381,,319.29731117876935,,,3457865.3,,12.814644656035716,,12.966206019624542
2020-03-03,304.7,309.95,289.55,295.6,4658583,,314.9887091462658,,,3644199.55,,13.441169037480737,,14.214256970463527
2020-03-05,296.0,297.95,267.0,280.55,8041426,,308.72712566512655,,,4012105.45,,14.871366082465846,,17.020571469117467
2020-03-09,275.75,278.7,262.0,274.0,3423344,317.2966666666667,302.4131028169217,,,3941161.4,,15.168802378794712,,17.276771382535323
2020-03-11,275.65,279.55,233.0,243.15,6161625,312.5130107526882,291.637993213845,,,3809391.1,-21.361578266494174,17.682437266580415,,22.17628309088545
2020-03-13,230.0,263.9,210.35,245.35,10826629,308.17991328477285,283.2219944476913,,,3887929.4,-19.039762415442997,20.5307312718611,,27.42365734213689
2020-03-15,235.0,246.95,220.85,228.3,2408003,303.0263704922069,273.2361772753838,,,3629765.1,-21.680960548885075,20.96949223567303,,27.20240049818127
2020-03-17,234.7,242.0,188.45,200.5,8148421,296.4117659443226,260.01141777076856,,,3882195.5,-31.941615750169728,23.517528284422678,,31.604398787407447
2020-03-19,185.0,200.95,170.95,193.25,7994600,289.7561681414631,247.87297817608334,,,4228860.55,-38.47500795924865,24.021091833496918,,31.336454634880106
2020-03-23,175.0,184.0,123.6,143.2,7367378,280.3009314871752,228.84152759861362,,,4126902.95,-55.319812792511705,27.543558398579382,,37.73287465395168
2020-03-25,143.2,181.5,141.1,167.8,10802788,273.0428068750994,217.7430680352293,,,4334294.1,-48.70070314888413,28.530358295860413,,38.178023575072004
2020-03-27,175.8,184.0,166.75,169.15,4490909,266.34004514122205,208.90796475609667,,,4468176.8,-47.99385088393543,27.669118709484838,,34.68591399744997
2020-03-29,167.0,167.0,148.3,160.5,4677802,259.51165513211095,200.10651661862454,,,4595093.9,-49.71804511278195,27.15103750427294,,32.37766683970883
2020-03-31,166.9,167.05,137.85,142.85,6808451,251.9850967364909,189.6962408697837,,,4904295.4,-55.00787401574803,27.306002520674795,,31.84762294361404
2020-04-02,147.0,147.0,122.5,124.65,4407286,243.7699292051044,177.8696516207321,,,5084503.6,-61.50401482396541,27.09466993783828,,30.62218535910549
2020-04-06,136.9,137.0,117.4,130.5,10843810,236.46219183703315,169.25698768968988,,,5547206.05,-59.94475138121547,26.532397800418238,,28.784112312451775
2020-04-08,130.5,177.8,125.6,171.75,15890085,232.2872117185149,169.71026265520078,,,6264255.8,-47.45296007342819,28.45115992893613,,32.688605073111404
2020-04-12,170.0,170.55,146.0,150.15,7959997,226.9880367689333,166.1538512633461,,,6551390.75,-52.86454245801286,28.24990607169853,18.992931077412933,31.531715383782515
2020-04-14,153.0,162.65,145.0,153.65,5959935,222.25655052577633,163.8804237609195,,,6719162.95,-52.715802431143246,27.46256795823348,19.459698664569967,29.217336772406952
2020-04-16,152.85,180.8,149.0,176.6,20203424,219.31096662088757,166.19307398620685,,,7616293.85,-48.46052823580913,27.783827681004055,19.904562564664808,29.647898371524754
2020-04-20,180.0,183.7,135.65,143.65,20116309,214.42961393566904,162.09433326144196,,,8559540.25,-57.74378585086042,29.28092856713776,20.38008925798872,32.715614310648355
2020-04-22,142.15,159.3,137.0,151.8,15896434,210.3889936817549,160.22263630481612,,,9121432.8,-54.45544554455446,28.76649097641115,20.85613531934353,30.979348908452675
2020-04-24,145.0,145.8,132.05,132.9,16734283,205.38970376680297,155.254884249395,,,9556075.65,-60.56379821958458,28.103549437522954,21.33217791600797,29.107494565782662
2020-04-26,136.45,140.6,133.0,134.3,10768278,200.8032712657189,151.44490529495954,257.658,,9923322.35,-59.639368895567245,26.606508433582817,21.775567694627277,25.53910827103984
2020-04-28,136.8,154.0,135.5,150.65,25197734,197.56757634534995,151.30037705951236,253.46160784313727,,10875127.8,-54.54819731482878,26.100749583361473,22.220444021382992,24.56581660922166
2020-04-30,154.8,170.6,153.35,159.45,18444012,195.1083778714564,152.78212668505554,249.77487812379857,,11255996.95,-51.57910719708473,25.65114405483006,22.660153454985625,23.7964433889871
2020-05-04,150.0,151.3,139.05,142.05,24471449,191.68525671845921,150.83083092413636,245.55037309933587,,12359169.25,-57.213855421686745,25.267937217942794,23.10118257811229,23.230326291048343
2020-05-06,142.65,155.95,138.55,148.85,37559629,188.9216917688812,150.47067984702065,241.7582016052443,,13829729.65,-54.24927001690487,24.694654650604594,23.526556903251016,22.258543446138585
2020-05-08,152.5,155.45,142.9,144.1,12318025,186.02996971927598,149.31237442028961,237.92846820896023,,14045900.9,-54.18852328723573,23.811024668869425,23.91555404258224,20.640367120907925
2020-05-10,146.95,154.5,142.75,151.9,18116072,183.82803618900013,149.78285179841876,234.55480278900103,,14583335.6,-50.440456769983676,22.934645248321665,24.266983356413228,19.158573831069578
2020-05-12,148.0,165.95,141.5,157.7,33024062,182.14235643487112,151.22233328961534,231.54088895413827,,15694399.3,-47.78145695364239,23.04461845638512,24.60798248309154,20.040510648012397
2020-05-14,156.95,160.4,146.3,149.35,19659169,180.02672053584718,150.8819090551398,228.3177168382897,,16452812.3,-49.47564276048715,22.396226161682392,24.9064843872316,19.050395176301215
2020-05-18,149.0,149.0,122.5,127.1,30844335,176.6120934045022,146.5579255905689,224.34839460933716,,17761138.95,-54.69613259668509,22.718736475052427,25.168063400317816,20.350362535156197
2020-05-20,127.0,138.75,125.0,129.85,24619544,173.59518415259882,143.5201209377382,220.64257521289258,,18651693.6,-52.60948905109489,22.0699235867182,25.398100773915267,19.250278684788924
2020-05-22,130.3,133.2,121.2,123.2,19823411,170.34388194920535,139.82555349451306,216.82129775356347,,19422499.85,-49.331688258276785,21.342113566268726,25.520089983904878,18.04187745847999
2020-05-26,126.55,140.4,120.1,135.3,32786748,168.0829863395792,139.00272558641976,213.62438411616884,,20519646.75,-44.85428979009578,21.266857902570738,25.544627538261864,18.418236781444435
2020-05-28,135.0,143.2,129.6,141.7,34237921,166.38085818863863,139.49313911616161,210.80382003318184,,21437038.55,-37.93254489706527,20.713634703445457,25.536098953854278,17.615187420838105
2020-06-01,145.0,159.75,144.6,157.9,32300876,165.83370604743615,142.83984109504132,208.72916042403745,,22654082.5,-21.246882793017452,20.521572869178495,25.43623377334614,17.687656928312546
2020-06-03,160.0,164.0,141.4,142.6,37916177,164.3347572701822,142.7962336232156,206.13586001525167,,24251894.6,-26.209573091849936,20.671336881500046,25.32457527494625,18.506387780743704
2020-06-05,145.0,147.3,140.3,145.4,17141514,163.11316002694463,143.26964569172185,203.75406158328101,,24098799.1,1.5363128491620248,19.68684743585495,25.062684909522098,16.588642806354297
2020-06-07,150.0,153.85,144.5,146.65,17151428,162.05102067036756,143.88425556595422,201.5146866192308,,23950555.05,-12.604290822407627,18.942912035838976,24.743103367521382,15.382195168181442
