datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1.62,1.97,1.62,1.97,29153313,,,,,,,
2020-01-03,2.36,2.36,2.19,2.36,106917224,,,,,,,
2020-01-05,2.58,2.8,2.36,2.8,124437171,,,,,,,
2020-01-07,3.02,3.06,2.75,2.75,51903177,,,,,,,
2020-01-09,2.49,2.49,2.27,2.27,39561948,,,,,,,
2020-01-13,2.14,2.32,2.05,2.1,38385225,,,,,,,
2020-01-15,2.1,2.27,2.01,2.27,38318660,,,,,,,0.34246753246753275
2020-01-17,2.32,2.36,2.19,2.19,17296009,,,,,,,0.302595349113775
2020-01-19,2.14,2.19,2.1,2.14,8322706,,,,,,,0.25642505649767944
2020-01-21,2.1,2.27,2.1,2.23,14283312,,,,,,,0.23855815525521307
2020-01-23,2.23,2.27,2.14,2.19,10989114,,,,,,,0.21698016319388735
2020-01-27,2.19,2.19,2.05,2.1,10746597,,,,,,,0.2021548233700871
2020-01-29,2.1,2.19,2.1,2.1,11386267,,,,,,,0.18110102974487668
2020-01-31,2.14,2.19,2.05,2.14,11798758,,,,,,,0.1735446053891734
2020-02-02,2.19,2.19,2.1,2.1,5515402,,,,,0.19475884203157134,,0.15844440146402647
2020-02-04,2.14,2.14,1.92,1.92,15854601,,,,,0.19744588937101307,,0.16941576971631048
2020-02-06,1.92,2.05,1.88,1.97,12527149,,,,,0.1946230126371588,,0.16951870921060466
2020-02-10,1.97,2.32,1.97,2.32,16729612,,,,,0.2101170330701846,,0.2010187325852155
2020-02-12,2.53,2.53,1.92,2.01,62606573,,,,,0.24889585285005744,,0.27184249094549967
2020-02-14,2.05,2.19,1.97,2.01,9309042,,,31802093.0,,0.24616346910475442,,0.2629228843967068
2020-02-16,2.1,2.1,1.97,2.01,6433047,,,30666079.7,,0.23542742114652085,,0.24017573240552348
2020-02-18,2.01,2.05,1.92,1.97,14221436,,,26031290.3,,0.22588396789000967,,0.2214050984916271
2020-02-20,2.14,2.14,2.14,2.14,4370277,,,20027945.6,,0.22092004080362046,,0.2126795277341681
2020-02-24,2.32,2.53,2.14,2.49,88533706,,,21859472.05,,0.2356818581674929,,0.24268588387162496
2020-02-26,2.53,2.62,2.32,2.45,30744094,,,21418579.35,,0.24120949576281817,,0.2523599274686652
2020-02-28,2.36,2.45,2.23,2.36,17294850,,,20364060.6,,0.23941278336570096,,0.24690947129373358
2020-03-01,2.58,2.58,2.45,2.49,18259978,,,19361126.5,,0.2377898345848559,,0.2423850362239347
2020-03-03,2.53,2.53,2.19,2.23,20493720,,,19521012.05,,0.24623204431140103,,0.25877349798093896
2020-03-05,2.23,2.23,2.05,2.1,20845931,,,20147173.3,,0.24082192445472622,,0.2455644513850725
2020-03-09,2.05,2.05,1.92,1.92,20590744,2.203333333333333,,20462544.9,,0.23590416195077635,,0.2345815212062744
2020-03-11,1.92,2.01,1.92,1.92,19123634,2.18505376344086,,20869270.9,-2.5380710659898553,0.22421723412286002,,0.21038265796443203
2020-03-13,1.84,1.88,1.84,1.84,17114792,2.1627922303156435,,21187680.65,-22.033898305084744,0.21276473910770347,,0.18857565931667142
2020-03-15,1.84,1.88,1.75,1.75,13725548,2.1361604735210857,,21304644.7,-37.5,0.20624432530237544,,0.1787844051148071
2020-03-17,1.79,1.84,1.7,1.75,29944843,2.1112468945842418,,22211948.95,-36.36363636363637,0.20106353038915545,,0.17230454022418398
2020-03-19,1.7,1.7,1.62,1.66,25186434,2.0821341917078393,,23195500.55,-26.87224669603525,0.19554325893366767,,0.16523943006117728
2020-03-23,1.62,1.66,1.57,1.57,19515563,2.0490932761137852,,23378548.65,-25.238095238095237,0.18739551629194015,,0.15267825901630225
2020-03-25,1.53,1.57,1.49,1.57,16970968,2.018184032493541,,23600739.6,-30.83700440528634,0.17915234234607796,,0.14054810223985215
2020-03-27,1.62,1.62,1.57,1.62,3583760,1.992494740074603,,22943447.0,-26.027397260273965,0.16929174155803467,,0.12543898818839794
2020-03-29,1.62,1.66,1.62,1.66,8485781,1.971043466521403,,20237407.4,-22.429906542056088,0.15946882687594197,,0.11118519175091673
2020-03-31,1.7,1.75,1.7,1.75,3208744,1.9567825977135704,,19932392.5,-21.52466367713004,0.1542148322719911,,0.1076514413165257
2020-04-02,1.84,1.84,1.84,1.84,2602482,1.9492482365707595,,19740864.25,-15.981735159817346,0.14937852643817096,,0.10470753145941779
2020-04-06,1.92,1.92,1.92,1.92,3116001,1.9473612535661944,,19185592.5,-8.571428571428575,0.14417354574189029,,0.10058727343931582
2020-04-08,2.01,2.1,2.01,2.1,2236695,1.95720891462644,,19078913.4,0.0,0.14685172514856115,,0.11382898437070695
2020-04-12,2.19,2.19,2.19,2.19,2476924,1.9722276943279602,,14776074.3,2.3364485981308247,0.1426159045093641,0.20412212268467986,0.10985592263348828
2020-04-14,2.27,2.27,2.27,2.27,1631947,1.9914388108229306,,13320466.95,8.095238095238088,0.13796493045394861,0.2022289922987591,0.10487830229943698
2020-04-16,2.36,2.45,2.36,2.45,4066880,2.0210234036730643,,12659068.45,27.604166666666675,0.14107833365173253,0.20035007377478312,0.11740200958919556
2020-04-20,2.53,2.62,2.53,2.62,6224286,2.0596670550489957,,12057283.85,32.99492385786802,0.14321483242599142,0.19863646776774418,0.12617033925103238
2020-04-22,2.75,2.75,2.4,2.4,66759399,2.081624019239383,,14370567.8,3.4482758620689724,0.1584532154550829,0.19691434051390747,0.16348236755322465
2020-04-24,2.32,2.32,2.32,2.32,2742175,2.0970031147723263,,13465380.0,15.422885572139311,0.1526849076377083,0.19370730900682917,0.14956643765249364
2020-04-26,2.27,2.36,2.23,2.32,31812209,2.1113900105934666,2.1123999999999996,14026453.25,15.422885572139311,0.15102047973960006,0.19053587602799069,0.14630493464280947
2020-04-28,2.36,2.4,2.27,2.32,15988267,2.124848719587437,2.1205411764705877,13869684.9,15.422885572139311,0.14948116450290147,0.1876710008065367,0.14358714689205918
2020-04-30,2.36,2.36,2.27,2.27,11097310,2.1342133183237313,2.1264023068050744,13568810.8,15.228426395939088,0.14513322933800155,0.18497930952146976,0.13465513783321617
2020-05-04,2.23,2.27,2.14,2.14,12433518,2.1345866526254262,2.126935549675464,13504209.3,0.0,0.1440288686718395,0.1824162704504104,0.13387922231841906
2020-05-06,2.14,2.19,2.01,2.14,14581080,2.134935900843141,2.12744788106074,12736021.15,-14.05622489959839,0.1466498380500445,0.17944853644649544,0.14156650743892274
2020-05-08,2.23,2.23,2.23,2.23,1682816,2.1410690685306806,2.131469532783848,11560840.25,-8.979591836734702,0.1425280662251891,0.17615915546190783,0.13297163407038629
2020-05-10,2.32,2.32,2.14,2.27,19670923,2.1493871931416044,2.136902100125658,11568608.25,-3.813559322033888,0.14525085574846525,0.17302042454133332,0.14081004120462925
2020-05-12,2.27,2.32,2.19,2.27,9167411,2.1571686645518238,2.142121625610926,11178430.4,-8.835341365461858,0.14414406175813782,0.1698988987804427,0.13900830136613151
2020-05-14,2.27,2.32,2.23,2.27,11761936,2.1644481055484803,2.147136463822262,11587339.2,1.7937219730941756,0.14021917746943746,0.16636513655237725,0.13084000064250162
2020-05-18,2.27,2.32,2.19,2.27,17675292,2.171257905190514,2.151954641711585,12046814.75,8.095238095238088,0.13947917803352153,0.16298704500500377,0.1306999969575263
2020-05-20,2.32,2.45,2.32,2.45,5911904,2.189241266145965,2.163642694977798,12181972.75,27.604166666666675,0.14241051976832195,0.15987059026558859,0.13891683912054537
2020-05-22,2.53,2.53,2.36,2.4,32477391,2.202838603813967,2.1729116089002374,13675718.2,25.0,0.1444045666941688,0.15721016801796558,0.1440974578742898
2020-05-26,2.4,2.45,2.32,2.45,12815108,2.2187845003420987,2.1837778203159144,14160673.55,33.152173913043484,0.14336434875445528,0.1548968216728573,0.14174784681309563
2020-05-28,2.45,2.53,2.4,2.45,15257716,2.233701629352286,2.194217905793722,14811724.6,40.000000000000014,0.14240000744721826,0.15276867774435207,0.13978984821325735
2020-06-01,2.49,2.62,2.49,2.62,20499610,2.258624104877945,2.210915242821419,15712858.9,49.71428571428571,0.14439010961422521,0.15087956371852104,0.144824925222605
2020-06-03,2.71,2.88,2.67,2.88,40213532,2.298712872305175,2.2371538607499906,17641938.15,73.49397590361446,0.1527205441007039,0.1494521398907556,0.16402093530887257
2020-06-05,3.1,3.15,3.06,3.15,17192422,2.3536346224790345,2.2729517485637163,18298215.25,100.63694267515922,0.1611659790661824,0.14857782198323033,0.18168423873429934
2020-06-07,3.45,3.45,3.45,3.45,6365439,2.4243678726416777,2.319110503522002,18305272.9,119.74522292993632,0.17115776268688002,0.1483113359945904,0.2014036494796845
2020-06-09,3.76,3.93,3.45,3.93,87257080,2.5215054292454404,2.3822826406387865,19330156.95,142.5925925925926,0.1933729023542054,0.14911404135446277,0.24783660454257458
2020-06-11,4.11,4.11,3.93,3.93,25303068,2.6123760467134765,2.4429774390451087,20458201.6,136.74698795180723,0.19241146685561172,0.1502121293537851,0.23653045712062476
2020-06-15,3.8,3.89,3.58,3.58,14363381,2.6748033985384136,2.4875665590825555,19585760.2,104.57142857142858,0.20373591050784598,0.15186283196164693,0.2554421126469665
2020-06-17,3.41,3.54,3.28,3.54,55714428,2.7306225341165806,2.528838458726377,21572068.25,92.39130434782608,0.21065053945904808,0.15390523239567613,0.2628684484914773
2020-06-19,3.71,3.71,3.5,3.71,37187617,2.7938081770768015,2.57515851916848,22876583.6,93.22916666666667,0.21060383008937794,0.15611957520725908,0.2540570193631614
2020-06-21,3.85,3.89,3.76,3.89,19386800,2.864530230168621,2.6267209301814805,23224247.7,85.23809523809524,0.20840726316201832,0.15817142647437432,0.24171415823484246
2020-06-23,4.06,4.24,3.89,3.98,72595219,2.9364960217706457,2.6797906976253443,26124954.65,81.7351598173516,0.21856646373114078,0.16070311178176688,0.25976182846478835
2020-06-25,3.8,4.06,3.8,4.06,53276785,3.008980149398346,2.7339165526204288,28704653.1,78.85462555066078,0.22153834344256898,0.16348889221472088,0.25980152377552596
2020-06-29,4.24,4.41,4.15,4.41,24099497,3.0993685268565176,2.7996453152627647,28926081.8,79.99999999999999,0.23074969598792408,0.16647793762592725,0.27483462046256757
2020-07-01,4.63,4.85,4.63,4.85,4457880,3.2123124928657747,2.8800513813308912,28690605.25,85.11450381679386,0.24574985687165243,0.169895771774116,0.3023622101424975
2020-07-03,5.07,5.07,5.07,5.07,4532384,3.3321632997776605,2.965931719317915,28329127.65,111.25000000000003,0.24390444556155935,0.17274414611099853,0.2886351641382726
2020-07-05,5.29,5.29,4.85,4.85,72456854,3.430088248179102,3.039816749932899,31068205.75,109.05172413793105,0.2579546496582298,0.17625313751168256,0.31386265359844157
2020-07-07,4.63,4.63,4.41,4.41,5795705,3.4933083611998055,3.0935494264061187,31062395.8,90.08620689655173,0.2709952749190383,0.18025229735099715,0.3348855563435231
2020-07-09,4.2,4.81,4.2,4.5,189362227,3.558256208864334,3.148704350860781,38906637.6,93.96551724137932,0.29527453209322596,0.18511207627067466,0.3807379848453336
2020-07-13,4.59,4.59,4.11,4.11,23708439,3.59385258248599,3.1864022194544757,39451304.15,81.05726872246697,0.3085019058514861,0.19055769882112414,0.39728166041969387
2020-07-15,3.93,4.28,3.76,3.76,57038189,3.6045717707127007,3.2088962500641043,41540327.8,75.70093457943923,0.3236436687858479,0.19654485882492442,0.4177347235914181
2020-07-17,3.67,3.93,3.67,3.93,8208518,3.6255671403441396,3.237174828492963,40925773.2,83.64485981308411,0.3190879823125768,0.20229279696700883,0.39144559595025286
2020-07-19,4.11,4.11,3.93,4.11,4789627,3.656820873225163,3.2714032665912782,39154577.95,84.30493273542604,0.3091334245122832,0.20784630890991196,0.35620465542462976
2020-07-21,4.28,4.33,4.11,4.11,39747981,3.6860582362428946,3.3042894129994633,40282355.9,81.05726872246697,0.30275502901863877,0.21309644801891772,0.3335038752973908
2020-07-23,3.98,4.11,3.8,3.89,26391723,3.6992157693885144,3.3272584556269353,41283670.1,71.36563876651982,0.30327341158801246,0.21840075967991357,0.3295865621405288
2020-07-27,3.85,3.93,3.76,3.76,16521847,3.703137332653772,3.3442287122690164,37746908.45,65.63876651982379,0.2937387731521916,0.2235180795360054,0.3029887983475877
2020-07-29,3.8,4.06,3.76,3.85,24685866,3.7126123434503033,3.3640628804153296,37716048.35,69.60352422907489,0.29418666269195626,0.22867499569128655,0.3024906652360279
2020-07-31,3.89,3.98,3.76,3.76,7940248,3.7156696116148002,3.379589826281395,37394891.7,53.46938775510202,0.2888803650767226,0.23355732386823325,0.28874221979657005
2020-08-02,3.76,3.89,3.76,3.8,6228704,3.7211102818332003,3.396076499760556,34920605.5,58.33333333333333,0.2775173506656663,0.2379944166672831,0.26228518118579575
2020-08-04,3.85,4.06,3.8,3.93,22483106,3.7345870378439616,3.4170146762405342,34185379.95,60.408163265306115,0.27626463546901703,0.2424244262244352,0.26190431763110095
2020-08-06,3.89,3.98,3.8,3.85,16206066,3.7420330354024163,3.4339944928585524,34026343.25,57.14285714285714,0.26938105958840974,0.2466571279624749,0.24825359731718732
2020-08-10,3.85,4.02,3.76,3.76,46587983,3.7431921944087123,3.446779022550374,32725981.45,43.51145038167938,0.2687103025230205,0.2508011343927681,0.25021133118235894
2020-08-12,3.76,3.76,3.41,3.41,26248037,3.721695923801699,3.4453367079405552,31374544.05,18.40277777777779,0.2745221917136002,0.25486118931319796,0.2668427765849422
2020-08-14,3.28,3.54,3.28,3.54,25042177,3.7099736061370736,3.449048993903671,31421678.05,12.380952380952381,0.27348398293726006,0.2586051227755672,0.26570231378651926
2020-08-16,3.63,3.71,3.45,3.58,16438190,3.7015882121927466,3.454184327476076,32020693.55,3.768115942028971,0.27252005730274087,0.26198386592942924,0.26475192813163695
2020-08-18,3.58,3.63,3.41,3.45,28468106,3.6853567146319244,3.4540202362025045,33217479.65,-12.213740458015266,0.2687657892601008,0.26449696215962576,0.2572932732874057
2020-08-20,3.5,3.5,3.36,3.45,36927577,3.670172410462123,3.4538625798808376,31441015.8,-12.213740458015266,0.2595617781531435,0.26673530586954347,0.23774439406626474
2020-08-24,3.45,3.5,3.36,3.45,24525123,3.6559677388194056,3.4537111061600205,32377486.7,-3.6312849162011163,0.2510160861625378,0.2683113117246999,0.22145366148584103
2020-08-26,3.45,3.45,3.32,3.41,26833909,3.6400988524439604,3.4519969451341375,24251070.8,-3.672316384180785,0.24236684991493676,0.2693685220732295,0.2062113843874888
2020-08-28,3.45,3.45,3.32,3.36,21073905,3.6220279587378985,3.448389221795544,24119344.1,-9.433962264150942,0.23433613713323317,0.2701595989746914,0.1935094868617647
2020-08-30,3.36,3.41,3.23,3.28,17519415,3.5999616388193245,3.4417857229016007,22143405.4,-15.681233933161964,0.2304529598329174,0.27089445553038793,0.19125790569925738
2020-09-01,3.28,3.36,3.1,3.15,37116144,3.570931855669691,3.4303431455329108,23588786.7,-20.854271356783926,0.232564484991431,0.2713610562390643,0.2027149214961055
2020-09-03,3.15,3.15,2.88,2.93,39955394,3.5295814133684207,3.410721845708091,25347075.05,-27.83251231527093,0.2352396530123064,0.27181776655805556,0.21392910131205534
2020-09-07,2.97,3.1,2.88,2.93,29424483,3.4908987415382002,3.391870008621499,24830900.15,-33.56009070294784,0.2341506517610405,0.27193113175049277,0.21494091776495605
2020-09-09,2.93,3.02,2.84,2.88,20907893,3.4514859195034777,3.3717966749500676,24556708.65,-40.618556701030926,0.2302812481455513,0.2714155114596227,0.20911743144724784
2020-09-11,2.88,2.93,2.84,2.88,5988216,3.414615860180673,3.3525105308343788,24030027.1,-43.19526627218936,0.22025755098991084,0.2706272816405678,0.18926452613913924
2020-09-13,2.88,3.02,2.8,2.84,13516070,3.3775438692012747,3.3324120786447953,23471537.3,-41.44329896907216,0.2202391483397896,0.26937009826328645,0.19438710513033458
2020-09-15,2.84,2.93,2.8,2.88,12217320,3.3454442647366767,3.314670428501862,23685390.9,-34.693877551020414,0.21379149377550902,0.2674633055585022,0.183655920916833
2020-09-17,2.84,2.88,2.71,2.71,35371682,3.304447860560117,3.2909578626782596,25142539.8,-39.77777777777778,0.21066262821433923,0.26464290876253926,0.18137993409292238
2020-09-21,2.71,2.84,2.58,2.62,25859561,3.2602899340723677,3.2646457896320533,25311362.55,-36.25304136253041,0.21418766953057414,0.26149910088517553,0.19448327843206295
2020-09-23,2.67,2.71,2.49,2.62,18578637,3.218980906067699,3.239365562587659,25429991.1,-30.319148936170205,0.21460293918458775,0.2578644098984669,0.19873606536581184
2020-09-25,2.71,2.71,2.58,2.67,9743296,3.1835627830955895,3.2170375013097114,23587756.75,-32.061068702290086,0.20855847737551586,0.2541800930672315,0.18728005445858126
2020-09-27,2.67,2.71,2.53,2.62,17283576,3.147203893863616,3.1936242659642327,23139533.7,-36.25304136253041,0.2065181489686151,0.25075958388244257,0.18606671204767666
2020-09-29,2.62,2.62,2.53,2.53,14110199,3.107384287807899,3.1675997849460273,22592934.8,-38.44282238442823,0.19819376784004322,0.2472742085098227,0.17005559336051587
2020-10-01,2.58,2.58,2.49,2.53,4455406,3.070133688594486,3.142595871810889,21993795.6,-34.96143958868896,0.19046421355597884,0.2435139019087549,0.1567129944583826
2020-10-05,2.58,2.75,2.53,2.67,21424095,3.0443186119109713,3.1240627003673245,21641595.05,-28.98936170212766,0.19257427456976442,0.24014175195600732,0.1672608287210595
2020-10-07,2.58,2.62,2.53,2.53,9104829,3.0111367659812314,3.100766123882331,20250457.65,-34.2857142857143,0.1888183709394955,0.23662947556425865,0.16271735726548897
2020-10-09,2.53,2.58,2.49,2.58,5819944,2.983321490756636,3.080343922945769,19315198.7,-31.382978723404253,0.18175887164139767,0.23305875911641447,0.15059779771666026
2020-10-11,2.62,2.62,2.49,2.53,7165242,2.9540749429658852,3.058761808320445,18331765.35,-33.42105263157895,0.1780613015091277,0.2297435574778632,0.147164831429469
2020-10-13,2.49,2.58,2.45,2.49,16629597,2.9241346240648607,3.0364574236804276,18109549.95,-36.6412213740458,0.17462791350006956,0.22635566674556495,0.14430402619047333
2020-10-15,2.53,2.58,2.36,2.45,11993162,2.8935452934800314,3.013459093340019,17833237.3,-36.36363636363637,0.17786916068849593,0.22330527011556783,0.1569200218281539
2020-10-19,2.49,2.58,2.45,2.53,8853688,2.870090758416804,2.994499913209038,16420114.5,-32.71276595744681,0.17444955886300237,0.22016324532690054,0.15243335152264384
2020-10-21,2.53,2.8,2.53,2.8,14210378,2.8655687740028166,2.986872465632213,15132863.7,-17.888563049853378,0.18127528739765766,0.21705501518303583,0.17202779293851275
2020-10-23,3.06,3.06,3.06,3.06,1949408,2.878112724067151,2.9897402120780088,13759109.95,-13.559322033898303,0.18689901441472417,0.21416884956561794,0.1866898274506165
2020-10-25,3.19,3.19,3.06,3.19,45319932,2.898234483804754,2.9975935370945574,14979711.9,-10.89385474860336,0.18283444121327555,0.21117932902930242,0.1772415228745172
2020-10-27,3.28,3.45,3.23,3.45,5661475,2.9338322590431574,3.015334967012418,14963374.85,0.0,0.18834671752910276,0.2084986933049358,0.19103460239664344
2020-10-29,3.58,3.58,3.19,3.19,23558196,2.950359210072631,3.022184576149186,15465481.15,-7.536231884057976,0.2027516170507541,0.2066050212681895,0.2241955019996319
2020-11-02,3.06,3.06,2.93,2.93,21814640,2.9490457126485903,3.0185694947315707,15945347.15,-15.07246376811594,0.20684107555942893,0.20513252091475256,0.2301629183333908
2020-11-04,2.8,2.84,2.67,2.67,42608111,2.931042763445456,3.004900102781313,16307168.6,-21.700879765395896,0.21063839017179037,0.204074905589981,0.23513576527807867
2020-11-06,2.62,2.67,2.53,2.58,15432067,2.9083948432231685,2.988237353652634,15785793.9,-23.214285714285708,0.205592484151305,0.20311678382391676,0.21927980439772682
2020-11-08,2.58,2.67,2.53,2.67,11787142,2.8930145307571578,2.975757457430962,15446219.15,-18.59756097560975,0.2009070422444001,0.2021319199042995,0.20606650366430568
2020-11-10,2.62,2.75,2.58,2.75,11863365,2.883787786837341,2.966904223806219,15552222.6,-12.698412698412698,0.1986992806549,0.20100307975974846,0.20005541972007782
2020-11-12,2.88,3.02,2.88,3.02,4233588,2.8925756715575126,2.9689864111079363,14899723.2,3.0716723549488067,0.20379243705838204,0.199954839227951,0.21171284976701749
2020-11-14,3.15,3.15,3.15,3.15,684550,2.9091836927473507,2.9760849832213507,14228440.75,7.508532423208192,0.19852131048092522,0.1987671945186138,0.19809404147223617
2020-11-16,3.28,3.28,3.06,3.28,17885146,2.933107325473328,2.9880032191734545,14899927.75,13.888888888888884,0.2000555669738867,0.1977596718128916,0.201745034560259
2020-11-18,3.28,3.32,3.1,3.1,17702397,2.94387459479763,2.9923952497941033,14713842.85,7.638888888888906,0.201480224847718,0.19713376094148521,0.20478752880025902
2020-11-20,3.15,3.15,2.97,3.02,8084618,2.948785911262299,2.9934777890178643,14662832.3,6.338028169014098,0.19994586755406488,0.1964573182486277,0.20065627400016697
2020-11-22,3.02,3.06,2.88,3.02,10098913,2.9533803686002154,2.9945178757230466,14876780.75,4.861111111111116,0.19852111485821558,0.19594830561805127,0.19721356166677192
2020-11-24,3.06,3.1,2.97,3.02,13034838,2.9576784093356854,2.9955171747143,15170260.55,11.439114391143912,0.19362659680584673,0.19538043790443488,0.18601130138888458
2020-11-26,3.02,3.06,2.93,3.02,7099314,2.96169915712048,2.9964772855098176,14693746.4,15.267175572519086,0.1890817082223409,0.19454357252749374,0.17667608449067326
2020-11-30,3.06,3.1,2.97,3.06,16824488,2.968041146983675,2.99896837235257,14935312.7,16.793893129771,0.18486147267619424,0.19355219031054732,0.1688967370755167
2020-12-02,3.15,3.19,2.97,3.1,33827935,2.9765546213718252,3.002930396966195,16184025.05,16.104868913857693,0.18737143018346475,0.19284595540414562,0.17741394756297105
2020-12-04,3.23,3.23,3.02,3.06,23702767,2.9819381941865464,3.00516842061458,16658644.5,16.793893129771,0.18898779409146083,0.1922616102415738,0.18284495630249742
2020-12-06,3.1,3.19,3.06,3.1,24655471,2.9895550848841888,3.008887306080675,17793947.65,22.529644268774707,0.1847742894740756,0.19181429429604155,0.17403746358538544
2020-12-08,3.19,3.23,3.02,3.1,42414921,2.9966805632787574,3.0124603529010407,17648697.1,22.529644268774707,0.18657616197818028,0.19168469257678158,0.18003121965450436
2020-12-10,3.15,3.36,3.02,3.36,24563848,3.0201205269381926,3.0260893586696276,18593815.75,25.842696629213478,0.1975352110792856,0.19185005712709896,0.20669268304548144
2020-12-14,3.5,3.67,3.5,3.67,14438455,3.0620482348776643,3.051340756368858,18137828.7,45.05928853754941,0.2055685488239857,0.1924083963899153,0.22391056920460078
2020-12-16,3.85,4.02,3.85,4.02,11853839,3.1238515745629765,3.089327393374001,17639788.65,55.81395348837208,0.21588524625572367,0.19354594221039284,0.24492547433720072
2020-12-18,4.2,4.2,3.85,4.2,57058300,3.193280505236333,3.132883181869138,18362298.1,66.00790513833994,0.22546501396989835,0.19512606595908516,0.2624378952810239
2020-12-20,4.2,4.37,4.02,4.28,32365666,3.2633914403823763,3.177868155129172,19208978.05,71.88755020080322,0.2343604929385977,0.19711715194036947,0.27703157940086953
2020-12-22,4.11,4.46,4.11,4.46,44080265,3.340591992615771,3.228147835320185,20823634.2,82.0408163265306,0.24262056363258278,0.19927553203850568,0.28919298283406913
2020-12-24,4.68,4.68,4.46,4.68,18071658,3.427005412447012,3.2850832143272366,21134048.85,84.98023715415019,0.24100478985098936,0.20149403973810526,0.2776608190283821
