datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,329.41,335.66,328.59,334.53,9975536,,,,,,,,,
2020-01-03,334.2,337.36,331.62,334.54,4908028,,,,,,,,,
2020-01-05,332.07,335.76,330.87,333.92,2952102,,,,,,,,,
2020-01-07,335.59,344.71,333.51,343.08,9914684,,,,,,,,,
2020-01-09,345.53,345.73,339.18,343.5,6061900,,,,,,,,,
2020-01-13,344.1,348.5,341.39,342.05,6762985,,,,,,,,,
2020-01-15,341.95,351.43,340.56,347.26,5680601,,,,,,,,,8.14162998292031
2020-01-17,347.26,349.88,346.38,347.77,2093189,,,,,,,,,7.068547304160828
2020-01-19,353.46,355.58,348.38,350.92,4098721,,,,,,,,,7.229571936499173
2020-01-21,349.69,356.26,346.97,352.64,4694293,,343.02099999999996,,,,,,,7.655530173839329
2020-01-23,351.9,361.63,350.91,359.86,7586603,,346.0826363636363,,,,,,,8.26465166660614
2020-01-27,357.65,363.82,346.47,348.77,7492899,,346.57124793388425,,,,,,,10.014367059140625
2020-01-29,350.3,365.8,341.59,364.3,26376304,,349.7946574004507,,,,,,,12.679182689315345
2020-01-31,362.62,378.53,361.87,373.25,13752120,,354.0592651458233,,,,,,,13.411055955478764
2020-02-02,372.96,392.42,369.88,388.75,8381323,,360.36667148294634,,,,,12.85337235033545,,15.061059759451375
2020-02-04,388.47,390.25,380.12,386.21,7265272,,365.06545848604696,,,,,12.563455761031943,,14.18217183078729
2020-02-06,386.08,386.21,367.48,378.16,12834322,,367.44628421585656,,,,,13.197699892280633,,14.983484506533888
2020-02-10,379.85,379.85,361.83,362.93,9709097,,366.6251416311554,,,,,13.678574297630671,,15.513458048961432
2020-02-12,364.79,369.76,358.69,364.83,8657360,,366.29875224367254,,,,,13.425606702269246,,14.74397928742066
2020-02-14,367.11,369.78,358.25,360.36,3664541,,365.2189791084594,,,8143094.0,,13.246358663886541,,14.191007580681116
2020-02-16,361.82,365.97,360.09,364.42,2611702,,365.0737101796486,,,7774902.3,,12.565545836045487,,12.768741177904248
2020-02-18,364.41,378.56,360.24,377.26,11419277,,367.28939923789426,,,8100464.75,,13.086447929003949,,13.714508860458116
2020-02-20,377.49,380.72,372.17,374.38,4242458,,368.5785993764589,,,8164982.55,,12.68349521105991,,12.83787816016306
2020-02-24,373.1,382.29,365.24,365.93,9466662,,368.0970358534663,,,8142581.45,,13.064720440348873,,13.550657831937384
2020-02-26,365.41,370.78,361.83,368.37,6893303,,368.14666569829063,,,8184151.6,,12.711092634067471,,12.774113283269166
2020-02-28,362.82,363.22,344.69,349.27,9122473,,364.71454466223776,,,8302126.0,,13.640297744249823,,14.61101658460908
2020-03-01,355.27,356.64,325.25,331.61,9770342,,358.6955365418309,,,8506613.05,,15.124209509691429,,17.432157891010267
2020-03-03,332.01,342.11,321.67,329.07,20833848,,353.3090753524071,,,9443646.0,,15.56327560452929,,17.93714097421223
2020-03-05,329.23,346.92,323.66,336.41,14525800,,350.236516197424,,,9964999.95,,16.191977344241735,,18.829698683302063
2020-03-09,326.04,333.9,318.09,328.15,6034949,354.75,346.22078597971057,,,10032032.75,,16.364038819077738,,18.744317277179203
2020-03-11,328.15,336.73,290.5,293.06,21821991,350.77,336.5551885288541,,,10743802.15,-12.39649657728753,18.756303221724085,,23.344644288328027
2020-03-13,263.76,320.47,252.49,302.58,7615777,347.66096774193545,330.37788152360787,,,10749946.05,-9.55341663179292,22.665226766191267,,30.810078394697257
2020-03-15,277.34,292.24,271.8,279.55,10351946,343.26671175858485,321.1364485193155,,,9948728.15,-16.282343076185914,23.30452896168273,,30.805050620159154
2020-03-17,286.28,286.3,238.57,248.37,23099334,337.144343258031,307.9061851521672,,,10416088.85,-27.605806225953124,25.21478097996059,,33.632769259580414
2020-03-19,228.23,329.03,226.29,292.48,21294832,334.2627727252548,305.1014242154095,,,11061764.3,-14.852983988355161,31.237001538004638,,45.174088362778505
2020-03-23,263.23,277.93,230.67,258.25,17405877,329.3587228720126,296.5829834489714,,,11568794.55,-24.49934220143254,33.597179968830105,,47.95144235645783
2020-03-25,234.59,282.66,234.59,267.0,25053077,325.3355794609151,291.204259185522,,,12179732.3,-23.112365374647236,34.70804546045628,,47.97122988057684
2020-03-27,268.39,290.21,257.06,281.14,6837395,322.4842517537593,289.37439387906346,,,12036147.2,-19.159214423325764,34.58909086763895,,45.49811727954987
2020-03-29,268.39,294.24,268.36,277.78,7560930,319.60010647932324,287.26632226468826,,,11981325.7,-20.84235723241765,33.92741939875391,,42.22522446891954
2020-03-31,280.58,297.99,270.34,274.97,11322727,316.7207447709798,285.0306273074722,,,12364235.0,-22.025294918330296,33.45265209475598,,39.794035438206016
2020-04-02,275.35,277.31,251.49,258.01,6793795,312.9329547857553,280.11778597884086,,,12573339.65,-28.30267326182405,32.877802974275,,37.46344384897441
2020-04-06,268.39,283.81,260.64,280.37,5946878,310.83211899312596,280.16364307359703,,,12299719.7,-19.611778535997924,32.346805420067646,,35.51843375601234
2020-04-08,276.73,289.46,271.77,282.82,7891874,309.0248855096985,280.64661706021576,,,12482190.5,-22.366181718363986,31.25114705095283,,32.545623522930015
2020-04-12,280.32,281.71,261.44,274.63,6088297,306.80586063810506,279.55268668563104,,,12313272.25,-26.42196918955124,30.515682853486283,21.280127876551017,30.68395326032009
2020-04-14,276.34,293.23,268.6,282.59,9748180,305.24354704854994,280.10492547006174,,,12456016.1,-27.308038585209005,30.078507051835526,21.854299033267687,29.674629876819456
2020-04-16,278.33,319.92,275.64,307.74,20697730,305.4046085292887,285.129484475505,,,13034778.95,-20.317961730664656,31.130366226463067,22.473196048782054,32.109524000357446
2020-04-20,304.18,314.91,291.85,299.21,13942239,305.0049563661088,287.68957820723136,,,13243373.8,-20.87740638883013,30.534192847549456,23.051079147291016,30.60092625549876
2020-04-22,298.21,317.79,295.27,297.6,13323283,304.52721724571467,289.4914730786438,,,12867845.55,-18.000716391590665,29.943612093075103,23.59324707380583,29.25384942866455
2020-04-24,295.03,297.16,287.17,293.98,6893540,303.84675161695895,290.30756888252677,,,12486232.55,-19.42000383740371,28.50886502083885,24.096022351091488,26.11604468271981
2020-04-26,294.24,301.95,291.56,295.19,8523949,303.2882515126391,291.19528363115825,325.79639999999995,,12610682.55,-18.084693084693093,27.179454960882858,24.560458894324697,23.494691579305904
2020-04-28,295.83,312.08,295.83,308.86,11617384,303.647719156985,294.4070502436749,325.13222745098034,,12100452.2,-15.246144558476482,26.425965269171755,25.022472875428903,22.393788676905288
2020-04-30,313.32,327.44,313.32,319.78,8581064,304.68851146943757,299.020313835734,324.9223361783929,,12148716.55,-15.236176642103594,25.852443405880873,25.44800605799147,21.758099020218623
2020-05-04,308.15,314.45,297.84,301.19,8749952,304.46280105205454,299.4148022292369,323.99165632825986,,12068616.85,-19.549655430311454,25.566929421420863,25.8774538650035,21.788418163802746
2020-05-06,299.6,313.37,297.12,307.07,10639190,304.631007435793,300.8066563693756,323.32806196244576,,11445609.65,-16.085043587571402,24.888068740346757,26.27156547500343,20.865289767406882
2020-05-08,310.14,319.68,307.56,311.48,5674886,305.0728779238064,302.7472643022164,322.8634320815655,,10664612.35,-15.443711485734447,23.994731715218947,26.647686777708483,19.489335224519213
2020-05-10,313.52,319.37,311.13,312.02,4162768,305.52107934807697,304.433216247268,322.43819945091593,,10002456.9,-10.66510149740888,22.84995977166208,26.954675511955553,17.614363221210944
2020-05-12,313.12,344.84,306.36,337.78,13901678,307.60230003529784,310.4962678386738,323.0398386881349,,9444886.95,1.8606194023099265,23.98427215902047,27.250010933599853,21.092097332332436
2020-05-14,330.22,340.93,326.56,331.27,12154789,309.12924842011734,314.27331004982403,323.3625901121296,,9710756.65,0.6685507642750776,23.287336899290768,27.50747964342524,19.971713418313584
2020-05-18,330.62,335.57,296.83,299.56,18722288,308.51187755430334,311.5981627680378,322.4291552057716,,10268824.55,-10.953895544127711,24.406307776557828,27.781290657835775,23.099841123411604
2020-05-20,300.2,321.07,295.41,312.13,25195214,308.74530480886443,311.6948604465764,322.0252667663296,,10962448.9,-4.881913758951695,24.497001897723752,28.052389427123973,23.526543356737132
2020-05-22,311.69,325.74,309.13,322.13,12231104,309.6088335308732,313.59215854719884,322.02937395196375,,11234314.35,9.91947041561454,23.926963906567742,28.224744783285427,22.37376567225515
2020-05-26,322.52,345.3,322.52,335.85,18765195,311.3018120127524,317.6390388113445,322.5713592871809,,11875230.2,10.995439222684933,23.872300170264854,28.264980563421215,22.506473356183314
2020-05-28,334.42,345.73,320.3,329.34,66647746,312.46556607644584,319.76648630019093,322.8367961778797,,14813023.8,17.810767304596652,23.984700281762166,28.287652940757198,22.993733801970027
2020-06-01,331.01,340.65,328.47,338.1,13933513,314.1194005231268,323.09985242742897,323.4353531905119,,15205284.6,36.12755163667109,23.133520356018497,28.218277586625792,21.191426324806034
2020-06-03,340.95,352.07,329.42,334.68,14418596,315.4458908119574,325.2053338042601,323.87631973206044,,15438805.4,14.428336980306344,23.09867961155234,27.947000189077382,21.434524017902408
2020-06-05,335.59,339.96,325.05,335.11,5909053,316.7145430176376,327.0061822034855,324.3168562131561,,14699371.55,29.76185866408518,22.50900292366006,27.577394287571718,20.34709559257546
2020-06-07,336.0,341.85,332.22,333.68,4884623,317.8090886294029,328.21960362103357,324.68403832244405,,14246490.75,24.97378277153559,21.58211044011752,27.139863120227094,18.56090237768366
2020-06-09,334.01,340.95,326.74,339.26,9217737,319.19301839524786,330.22694841720926,325.2556446627404,,14041213.45,20.672974318844716,21.051831730524707,26.68862114898995,17.83574838981304
2020-06-11,339.26,347.62,323.06,345.39,12977586,320.88314624071575,332.98386688680756,326.0452272249859,,14345415.75,24.33940528475773,21.30404904431171,26.267842137175208,18.95646161712889
2020-06-15,343.93,346.99,331.01,336.6,9821854,321.8971368058309,333.6413456346607,326.4591398828296,,14410311.0,22.413354184092803,20.921458431904664,25.850135681746835,18.460382974683327
2020-06-17,336.18,336.56,326.31,330.96,7676026,322.4818376570676,333.15382824654057,326.63564420115006,,14213243.1,28.27409790318205,20.15780304748698,25.42613568418723,17.09864857584316
2020-06-19,334.2,340.62,332.15,335.81,3896490,323.3417190985472,333.63676856535136,326.9954228599285,,13979014.4,19.77387024289332,19.40405051726037,24.994710520760325,15.858870851950691
2020-06-21,336.38,340.2,333.62,334.39,1771797,324.05451141476993,333.77371973528744,327.2854062771862,,13630106.65,18.234212573368215,18.48361391966012,24.569126083050566,14.312389298438369
2020-06-23,336.98,361.43,332.04,351.42,11789978,325.8200268073655,336.9821343288715,328.23186093298284,,13687646.05,27.961256963915094,19.266141089830164,24.194141357595363,16.825328583589155
